Chin_Circumference,Chin_extremitiesDistance,EyeBrow_CentroidDistance,EyeBrow_farExtreme,EyeBrow_nearExtreme,avg_TopBottomEyeDistance,avg_LeftRightEyeDistance,LeftEyebrowEyes,RightEyebrowEyes,mouthNoseDistance,mouthSideExtreme,mouthTopExtremeDistance,Emotion
265.308,121.017,60.075,98.4124,20.3961,14.7433,24.1868,18.2483,19.4165,37.0135,41.0488,296.488,1
291.165,123.223,65.192,100.125,30.0666,8.6508,23.5214,17.4642,19.105,35.0143,44.0114,265.601,4
261.532,109.444,64.0078,105.043,22.0227,12.0192,25.0488,20.025,20.025,36.0555,48.0416,276.812,5
265.656,124.149,61.2046,106.118,18.0278,19.0131,34.5069,18.6815,15.5242,28.4429,54.0093,267.419,1
279.765,135.204,64.0312,100.02,28.1603,19.698,26.6201,26.3059,24,36,53.1507,274.117,3
289.718,130.25,68.0294,106.042,32.1403,11.4425,27.074,17,15,37.0135,45.1774,272.149,5
291.043,121.017,65.192,103.238,28.0713,18.0147,31.2381,13.1529,11.0454,36,52.0384,278.539,1
267.859,117.881,56,92.0217,21.095,12.5902,24.0212,15,16.0312,33.541,49.0102,260.415,4
274.334,115.572,65.0308,105.171,24.0208,9.02494,24.0974,19.105,19.4165,35.0571,42.0476,261.4,1
253.097,102.181,65,109.041,22.0227,13.0178,29.0083,20.025,17.0294,29.1548,48.0937,280,0
252.554,116.103,64.0078,99.1262,31.0644,11.3852,25.7452,22.0907,22.0227,32.1403,48.0104,272.029,0
286.517,128.098,58.8558,93.3435,28.1603,23.5416,31.4844,14.3178,16.1245,30.0666,36.0555,315.246,0
290.595,114.272,57.0789,99.3227,15.0333,12.3454,26.7307,22,27.8568,35,32.249,269.258,6
252.293,111.328,57.8705,101.607,13.4164,17.5754,25.7283,18,16.4924,31.5753,41.5933,274.016,1
259.089,117.958,61.131,97.0052,25,13.5872,26.1573,26.0768,25.02,30.5941,40.3113,285.428,1
284.856,124.952,60.075,95.0842,25.02,10,25.0093,20.6155,21.2132,35.1283,44,282.837,5
